date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:05	144/144	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:00%20GMT	http://scaladev.ru/robots.txt		(from )
11:25:05	8659/8659	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202014%2007:24:00%20GMT	http://scaladev.ru/	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/index-2.html	(from )
11:25:06	5793/5793	---MCZ	200	added ('OK')	text/css	date:Sat,%2005%20May%202012%2012:39:49%20GMT	http://scaladev.ru/static/css/style.css	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/static/css/style.css	(from http://scaladev.ru/)
11:25:06	3625/3625	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202012%2012:10:44%20GMT	http://scaladev.ru/writable/uploads/logo.png	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/writable/uploads/logo.png	(from http://scaladev.ru/)
11:25:06	3009/3009	---M--	200	added ('OK')	image/png	date:Sat,%2005%20May%202012%2012:10:43%20GMT	http://scaladev.ru/writable/uploads/elegion_logo.png	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/writable/uploads/elegion_logo.png	(from http://scaladev.ru/)
11:25:07	9271/9271	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2022%20Sep%202014%2007:24:02%20GMT	http://img27.imageshack.us/img27/8113/jetbrains.png	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/img27/8113/jetbrains.jpg	(from http://scaladev.ru/)
11:25:07	64013/64013	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2002%20Jul%202014%2015:54:38%20GMT	http://userapi.com/js/api/openapi.js?49	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/js/api/openapif457.js	(from http://scaladev.ru/)
11:25:07	163628/163628	---M-Z	200	added ('OK')	application/x-javascript	etag:%2288a4d6d44087c353e1da0cca13ce51c7%22	http://connect.facebook.net/en_US/all.js	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/en_US/all.js	(from http://scaladev.ru/)
11:25:09	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:03%20GMT	http://scaladev.ru/;%20path=/	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/;%20path=/index.html	(from http://userapi.com/js/api/openapi.js?49)
11:25:09	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:03%20GMT	http://scaladev.ru/activity.set	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/activity.set	(from http://userapi.com/js/api/openapi.js?49)
11:25:09	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:04%20GMT	http://scaladev.ru/widget_comments.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/widget_comments.php	(from http://userapi.com/js/api/openapi.js?49)
11:25:09	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:04%20GMT	http://scaladev.ru/widget_recommended.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/widget_recommended.php	(from http://userapi.com/js/api/openapi.js?49)
11:25:09	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:04%20GMT	http://scaladev.ru/widget_post.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/widget_post.php	(from http://userapi.com/js/api/openapi.js?49)
11:25:10	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:05%20GMT	http://scaladev.ru/widget_like.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/widget_like.php	(from http://userapi.com/js/api/openapi.js?49)
11:25:11	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:05%20GMT	http://scaladev.ru/widget_poll.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/widget_poll.php	(from http://userapi.com/js/api/openapi.js?49)
11:25:11	185/185	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Mon,%2022%20Sep%202014%2007:24:06%20GMT	http://scaladev.ru/al_widget_poll.php	D:/Docs/Desktop/httrack/scaladev/http___scaladev.ru_/al_widget_poll.php	(from http://userapi.com/js/api/openapi.js?49)
